texto,target
El producto es excelente y tiene buena calidad,positivo
El servicio fue muy malo y no recomendaría comprar aquí,negativo
"Me encantó la atención al cliente, muy amables y eficientes",positivo
El envío fue tardado y el empaque llegó dañado,negativo
"La relación calidad-precio es buena, volvería a comprar",positivo
"No me gustó la experiencia, hubo muchos problemas",negativo
"Producto defectuoso, pésima experiencia",negativo
El artículo llegó a tiempo y cumple con lo prometido,positivo
"Estoy muy satisfecho con mi compra, fue perfecto",positivo
"No volveré a comprar aquí, la atención fue terrible",negativo
